OpenBox,Constant,Animation,Crime,Romance,Budget,Weeks,Screens
2.7487144,1,0,0,0,4,1.3,3.405
3.6302612,1,0,1,0,4.2,1.6,3.148
2.4834845,1,0,1,0,9.2,1.4,3.555
0.617628,1,0,0,0,4,1.2,1.895
1.0925253,1,0,0,0,3.5,1.2,3.118
1.6306974,1,0,0,0,6.9,1.3,3.109
1.1396768,1,0,1,0,3.5,1.1,2.541
2.3244744,1,1,0,0,7.5,2.5,3.734
2.151408,1,0,0,0,5,0.8,3.203
1.9458109,1,0,0,0,4.45,2.8,3.247
0.7582595,1,0,0,1,6,0.8,2.95
0.7760205,1,0,0,1,4,0.9,2.133
0.8268908,1,0,1,0,3.5,1.1,2.622
2.4349815,1,0,1,0,2.5,0.9,3.87
1.4623599,1,0,0,0,2.2,2,3.401
3.0122888,1,0,0,0,10,2,3.012
1.9152401,1,0,0,0,3.7,1.8,3.515
7.021707,1,0,0,0,7,2.1,3.769
0.6278491,1,0,1,0,5,0.6,2.557
1.5891055,1,1,0,0,4,2.1,3.353
2.4900566,1,0,0,0,3.1,1.5,2.638
1.5556113,1,0,0,0,2.4,1.3,3.555
1.1412213,1,1,0,0,3.9,2.1,3.005
1.7070347,1,0,1,0,6,1.2,3.103
2.2115334,1,0,0,0,5.7,1.2,3.174
1.9690956,1,0,0,0,5,1.3,3.375
0.842537,1,0,0,0,2.3,0.9,2.441
4.2522194,1,1,0,0,8.5,2.1,3.375
4.6629259,1,1,0,0,9.5,3,3.886
3.4551025,1,0,1,0,3.5,1.7,3.23
3.2206425,1,0,0,0,7.5,1.5,3.12
1.2050368,1,0,0,0,4,1.4,3.127
1.1217324,1,0,1,0,3.5,1.6,1.985
2.5003575,1,0,0,0,7.9,1.6,3.438
1.5210156,1,0,1,0,6,1.3,3.352
0.38333,1,0,1,0,4.5,0.5,1.554
2.7335363,1,0,0,0,7.9,2,3.5
1.122519,1,0,0,0,2.5,1,2.735
0.9352008,1,0,1,0,7,0.8,2.986
2.7281735,1,0,0,1,6.1,1.4,2.927
0.0944308,1,0,0,0,6.5,2.4,2.018
2.0801522,1,0,1,0,3,1.4,2.993
0.8001932,1,0,1,0,4.2,0.5,2.998
1.9501302,1,0,0,0,5,1.9,3.018
3.0373794,1,0,0,0,7,1.6,3.106
1.151579,1,0,1,0,4,1.1,2.737
2.0244505,1,0,1,0,2.6,1.34893617021277,3.303
1.408705,1,1,0,0,6,2,3.455
1.4554053,1,0,0,0,2.5,2.1,3.368
0.7008222,1,0,1,0,3.5,1,2.238
0.6030164,1,0,1,0,3.5,0.9,2.255
1.4276668,1,0,0,0,6.5,1.3,2.781
1.8782154,1,0,0,0,5.8,2,2.573
2.1052227,1,0,0,0,6.5,0.9,3.016
1.4437269,1,0,0,0,7.5,0.9,3.47
2.1401594,1,0,0,1,2.8,1.5,3.223
4.017272,1,0,1,0,8.5,1.4,3.121
1.601691,1,0,1,0,4.5,0.9,2.635
0.0443003,1,0,0,1,2.1,2.9,2.509
1.1731708,1,0,0,1,3.3,1,2.606
0.512376,1,0,0,0,2.5,0.4,2.408
4.9514769,1,0,1,0,4.5,2,3.706
5.4415205,1,0,0,0,5,1.7,3.303
1.3453714,1,0,0,0,7,0.6,3.03
0.7591663,1,0,0,0,3.5,1.34893617021277,2.633
1.7435092,1,0,0,0,6.5,1.1,3.014
2.859137,1,0,0,0,10,1.4,3.355
1.061006,1,0,0,1,3,0.8,2.941
1.2768604,1,0,1,0,9,1.4,2.95
1.9665101,1,0,0,0,2.5,1.2,3.208
0.5290629,1,0,0,0,4,1.1,2.431
1.0600112,1,0,0,1,4,0.9,3.202
15.253575,1,0,0,0,7.8,2.4,4.137
1.0177257,1,0,0,0,3,0.8,3.16
0.6281433,1,0,1,0,4.5,0.6,2.913
1.1137734,1,1,0,0,5.5,1.5,3.358
0.7289642,1,0,1,0,2.6,1.1,2.209
0.5135369,1,0,0,0,4.5,0.8,2.292
0.9851435,1,0,0,0,2.5,1,2.752
0.8493665,1,0,0,0,3.8,0.5,2.996
0.8674452,1,0,0,0,7.5,1,3.017
1.7010125,1,0,0,0,3,1.8,3.482
4.1202458,1,0,0,1,3,1.4,3.038
1.2750297,1,0,0,0,6.8,1.2,3.168
1.1579175,1,0,0,0,3.5,1,2.931
1.740593,1,0,0,1,6.5,1.7,3.189
0.0310562,1,0,0,0,3,1.5,0.809
2.402519,1,0,1,0,7.5,1.3,3.87
2.5306725,1,0,0,0,7,0.7,3.078
2.0353967,1,0,0,1,3.5,1.4,3.009
1.0547068,1,0,0,1,4,1.1,3.021
0.041715,1,0,0,0,4,1.5,2.937
2.2403596,1,0,0,0,6,1.4,3.222
0.7515402,1,0,0,0,6.6,1.9,2.856
